Year,Measure,measureSubcategory,Demographic,DemographicBreakdown,OrganisationBreakdown,Datasource,OrgID,OrgName,MHSDS_Count,Total_Count,CrudeRate
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,5,5,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QNX,NHS SUSSEX INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,5,5,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,5,5,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QSL,NHS SOMERSET INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QVV,NHS DORSET INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,9,ICB,MHSDS,UNKNOWN,UNKNOWN,*,*,NULL
2023/24,All detentions,All,Gender,All,All submissions,MHSDS,All prov,All providers,50389,50389,87.3
2023/24,All detentions,All,Gender,Unknown,All submissions,MHSDS,All prov,All providers,48,48,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,5,5,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QJK,NHS DEVON INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QNX,NHS SUSSEX INTEGRATED CARE BOARD,5,5,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,5,5,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QSL,NHS SOMERSET INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QVV,NHS DORSET INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,Gender,Unknown,ICB,MHSDS,UNKNOWN,UNKNOWN,10,10,NULL
2023/24,All detentions,All,IMD,01 Least deprived,All submissions,MHSDS,All prov,All providers,2292,2292,43.4
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,50,50,49.9
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,30,30,48.1
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,25,25,36.7
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,60,60,37.6
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",40,40,46.2
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,45,45,61.4
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,85,85,49.9
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,70,70,65.1
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,30,30,43.9
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QJK,NHS DEVON INTEGRATED CARE BOARD,20,20,42.1
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,10,10,21.9
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",105,105,71
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,35,35,45.5
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,40,40,27
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,100,100,32
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,20,20,65.9
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,25,25,93.4
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,30,30,64.7
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,40,40,47.3
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,80,80,32.4
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QNX,NHS SUSSEX INTEGRATED CARE BOARD,75,75,38.6
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",20,20,64.7
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,75,75,53.9
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,120,120,54.9
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",75,75,54.2
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,30,30,39
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,50,50,54.1
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,100,100,34.2
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,40,40,101.7
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QSL,NHS SOMERSET INTEGRATED CARE BOARD,5,5,17.5
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,60,60,53.8
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",190,190,37.3
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,10,10,25.7
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,30,30,27.3
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",60,60,40.4
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QVV,NHS DORSET INTEGRATED CARE BOARD,30,30,37
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,80,80,46.8
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,40,40,33.3
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,35,35,43
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,120,120,36.9
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,90,90,40.2
2023/24,All detentions,All,IMD,01 Least deprived,ICB,MHSDS,UNKNOWN,UNKNOWN,10,10,NULL
2023/24,All detentions,All,IMD,02 Less deprived,All submissions,MHSDS,All prov,All providers,2637,2637,49.9
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,80,80,53.4
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,45,45,50.5
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,25,25,30.1
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,75,75,49.8
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",65,65,54.7
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,15,15,32.2
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,110,110,45.8
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,55,55,45.9
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,35,35,35.4
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QJK,NHS DEVON INTEGRATED CARE BOARD,45,45,36.9
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,40,40,48
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",70,70,51.1
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,75,75,57.4
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,65,65,39.6
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,110,110,52.8
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QMF,NHS NORTH EAST LONDON INTEGRATED CARE BOARD,55,55,77.4
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QMJ,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,60,60,61.4
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QMM,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,25,25,40
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QNC,NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD,80,80,59.7
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QNQ,NHS FRIMLEY INTEGRATED CARE BOARD,35,35,40.8
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QNX,NHS SUSSEX INTEGRATED CARE BOARD,85,85,44.5
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QOC,"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",20,20,61.8
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QOP,NHS GREATER MANCHESTER INTEGRATED CARE BOARD,80,80,44.3
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QOQ,NHS HUMBER AND NORTH YORKSHIRE INTEGRATED CARE BOARD,105,105,58.8
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QOX,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",50,50,34.8
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QPM,NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,35,35,39.6
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QR1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,45,45,45.2
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QRL,NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,130,130,56.7
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QRV,NHS NORTH WEST LONDON INTEGRATED CARE BOARD,80,80,66.3
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QSL,NHS SOMERSET INTEGRATED CARE BOARD,10,10,28.6
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QT1,NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,100,100,101
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QT6,NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,*,*,NULL
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QU9,"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",135,135,52
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QUA,NHS BLACK COUNTRY INTEGRATED CARE BOARD,25,25,46.3
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QUE,NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,40,40,35.4
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QUY,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",45,45,51.1
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QVV,NHS DORSET INTEGRATED CARE BOARD,40,40,50.3
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QWE,NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,140,140,58.9
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QWO,NHS WEST YORKSHIRE INTEGRATED CARE BOARD,65,65,43.1
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QWU,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,40,40,42.2
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QXU,NHS SURREY HEARTLANDS INTEGRATED CARE BOARD,115,115,56.7
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,QYG,NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,90,90,43.1
2023/24,All detentions,All,IMD,02 Less deprived,ICB,MHSDS,UNKNOWN,UNKNOWN,5,5,NULL
2023/24,All detentions,All,IMD,03 Less deprived,All submissions,MHSDS,All prov,All providers,2906,2906,54.9
2023/24,All detentions,All,IMD,03 Less deprived,ICB,MHSDS,QE1,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD,110,110,63.4
2023/24,All detentions,All,IMD,03 Less deprived,ICB,MHSDS,QF7,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD,65,65,73
2023/24,All detentions,All,IMD,03 Less deprived,ICB,MHSDS,QGH,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,45,45,45.9
2023/24,All detentions,All,IMD,03 Less deprived,ICB,MHSDS,QH8,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD,75,75,51.3
2023/24,All detentions,All,IMD,03 Less deprived,ICB,MHSDS,QHG,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",80,80,78.4
2023/24,All detentions,All,IMD,03 Less deprived,ICB,MHSDS,QHL,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,20,20,45.1
2023/24,All detentions,All,IMD,03 Less deprived,ICB,MHSDS,QHM,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,100,100,48.6
2023/24,All detentions,All,IMD,03 Less deprived,ICB,MHSDS,QJ2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,60,60,53.6
2023/24,All detentions,All,IMD,03 Less deprived,ICB,MHSDS,QJG,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD,45,45,50.2
2023/24,All detentions,All,IMD,03 Less deprived,ICB,MHSDS,QJK,NHS DEVON INTEGRATED CARE BOARD,65,65,55.7
2023/24,All detentions,All,IMD,03 Less deprived,ICB,MHSDS,QJM,NHS LINCOLNSHIRE INTEGRATED CARE BOARD,30,30,39.6
2023/24,All detentions,All,IMD,03 Less deprived,ICB,MHSDS,QK1,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",80,80,55.5
2023/24,All detentions,All,IMD,03 Less deprived,ICB,MHSDS,QKK,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD,65,65,56.5
2023/24,All detentions,All,IMD,03 Less deprived,ICB,MHSDS,QKS,NHS KENT AND MEDWAY INTEGRATED CARE BOARD,90,90,49
2023/24,All detentions,All,IMD,03 Less deprived,ICB,MHSDS,QM7,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,100,100,64.6
